Matrícula,Atuando em,Movimentação
151114,Forum da Comarca de Bonito,Substituindo
190535,Forum da Comarca de Breu Branco,Substituindo
197378,Forum da Comarca de Bujaru,Substituindo
204102,Forum da Comarca de Limoeiro do Ajuru,Substituindo
86134,Forum da Comarca de Maraba,Substituindo
136557,Forum da Comarca de Moju,Substituindo
190292,Forum da Comarca de Ourem,Substituindo
204056,Forum da Comarca de Ourilandia do Norte,Substituindo
197203,Forum da Comarca de Pacaja,Substituindo
149314,Forum da Comarca de Paragominas,Substituindo
113361,Forum da Comarca de Parauapebas,Substituindo
167321,Forum da Comarca de Santa Izabel do Para,Substituindo
204111,Forum da Comarca de Sao Felix do Xingu,Substituindo
82708,Forum da Comarca de Sao Joao do Araguaia,Substituindo
149292,Forum da Comarca de Sao Miguel do Guama,Substituindo
153826,Forum da Comarca de Soure,Substituindo
148946,Forum da Comarca de Tailandia,Substituindo
190551,Forum da Comarca de Ulianopolis,Substituindo
204145,Forum da Comarca de Uruara,Substituindo
91090,Forum da Comarca de Viseu,Substituindo
204153,Forum da Comarca de Xinguara,Substituindo
30155,Forum Distrital de Icoaraci,Substituindo
233307,Gabinete da Desa. Anete Marques Penna de Carvalho,Titular
24503,Gabinete da Desa. Antonieta Maria Ferrari Mileo,Titular
9407,Gabinete da Desa. Celia Regina de Lima Pinheiro,Titular
1520,Gabinete da Desa. Eva do Amaral Coelho,Titular
1929,Gabinete da Desa. Gleide Pereira de Moura,Titular
8060,Gabinete da Desa. Kedima Pacifico Lyra,Titular
5363,Gabinete da Desa. Luana de Nazareth Amaral Henrique Santalices,Titular
39360,Gabinete da Desa. Luzia Nadja Guimaraes Nascimento,Titular
639,Gabinete da Desa. Margui Gaspar Bittencourt,Titular
1341,Gabinete da Desa. Rosi Maria Gomes de Farias,Titular
1449,Gabinete da Desa. Rosileide Maria da Costa Cunha,Titular
24333,Gabinete da Desa. Sarah Castelo Branco Monteiro Rodrigues,Titular
49000,Gabinete da Desa. Vania Lucia Carvalho da Silveira,Titular
41050,Gabinete da Desa. Vania Valente do Couto Fortes Bitar Cunha,Titular
38070,Gabinete da Juiza Ana Angelica Abdulmassih Olegario da 2ª TRPJE,Respondendo
25208,Gabinete da Juiza Ana Patricia Nunes Alves Fernandes da 1ª TRPJE,Titular
6106,Gabinete da Juiza Marcia Cristina Leao Murrieta da 3ª TRPJE,Titular
39220,Gabinete da Juiza Maria das Gracas Alfaia da Fonseca Saldanha da 2ª TRPJE,Substituindo
4596,Gabinete da Juiza Silvia Mara Bentes de Souza Costa da 1ª TRPJE,Titular
24538,Gabinete da Juiza Tania Batistello da 3ª TRPJE,Titular
6700,Gabinete da Presidencia,DESIGNADO
744,Gabinete da Presidencia,DESIGNADO
7536,Gabinete da Presidencia,DESIGNADO
140058,Gabinete da Vice-Presidencia,DESIGNADO
37150,Gabinete da Vice-Presidencia,
214353,Gabinete do Des. Alex Pinheiro Centeno,Titular
2410,Gabinete do Des. Amilcar Roberto Bezerra Guimaraes,Titular
232866,Gabinete do Des. Cesar Bechara Nader Mattar Junior,Titular
329,Gabinete do Des. Constantino Augusto Guerreiro,Titular
2720,Gabinete do Des. Jose Maria Teixeira do Rosario,Titular
15300,Gabinete do Des. Jose Roberto Pinheiro Maia Bezerra Junior,Titular
4863,Gabinete do Des. Jose Torquato Araujo de Alencar,Titular
67067,Gabinete do Des. Leonam Gondim da Cruz Junior,Titular
132,Gabinete do Des. Leonardo de Noronha Tavares,Titular
531,Gabinete do Des. Mairton Marques Carneiro,Titular
4626,Gabinete do Des. Pedro Pinheiro Sotero,Titular
647,Gabinete do Des. Ricardo Ferreira Nunes,Titular
949,Gabinete do Des. Romulo Jose Ferreira Nunes,Titular
1740,Gabinete do Des. Sergio Augusto Andrade de Lima,Titular
20121,Gabinete do Juiz Convocado  Edmar Silva Pereia,Titular
8176,Gabinete do Juiz Lucio Barreto Guerreiro da 1ª TRPJE,Titular
24295,Gabinete do Juiz Max Ney do Rosario Cabral da 3ª TRPJE,Titular
37280,Gabinete do Juiz Miguel Lima dos Reis Junior da TRPJE da Fazenda Publica,Substituindo
1830,Gabinete do(a) Corregedor(a) Geral de Justica,DESIGNADO
30139,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
30252,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
36840,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
60224,Gabinete dos(as) Juizes(as) Corregedores(as),
7919,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
136573,GE Analise Definicao e Impl de Solucoes de IA e Automacao p Trazer Resultados Exponenciais ao TJPA,
15300,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
37070,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
48780,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
136573,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
149314,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
197378,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
22969,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
37150,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
7986,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
82678,Juizado Especial Civel e Criminal da Comarca de Abaetetuba,Respondendo
204081,Juizado Especial Civel e Criminal da Comarca de Braganca,Respondendo
197092,Juizado Especial Civel e Criminal da Comarca de Breves,Respondendo
204188,Juizado Especial Civel e Criminal da Comarca de Itaituba,Respondendo
16314,Juizado Especial Civel e Criminal da Comarca de Marituba,Respondendo
34533,Juizado Especial Civel e Criminal da Comarca de Muana,Respondendo
37840,Juizado Especial Civel e Criminal da Comarca de Salinopolis,Respondendo
149292,Juizado Especial Civel e Criminal da Comarca de Sao Miguel do Guama,Substituindo
82643,Juizado Especial Civel e Criminal de Santa Barbara do Para,Respondendo
167291,Juizado Especial Criminal Ambiental da Comarca de Altamira,Respondendo
167291,Juizado Especial Criminal Ambiental da Comarca de Castanhal,Substituindo
190420,Juizado Especial Criminal Ambiental da Comarca de Maraba,Respondendo
48682,Juizado Especial Criminal Ambiental da Comarca de Redencao,Respondendo
113255,Juizado Especial Criminal Ambiental da Comarca de Santarem,Respondendo
204021,Juizado Especial Criminal da Comarca de Santarem - ULBRA,Respondendo
21822,Justica Militar,Substituindo
37270,Justica Militar,Titular
116599,Laboratorio de Inovacao do Poder Judiciario,
136573,Laboratorio de Inovacao do Poder Judiciario,
29327,Laboratorio de Inovacao do Poder Judiciario,
37970,Laboratorio de Inovacao do Poder Judiciario,
7986,Laboratorio de Inovacao do Poder Judiciario,
197092,"Nucleo 4.0 de Busca e Apreensao em Alienação Fiduciaria, Arrendam Mercantil e Fazenda Pub (GAS 1G)",
197211,"Nucleo 4.0 de Busca e Apreensao em Alienação Fiduciaria, Arrendam Mercantil e Fazenda Pub (GAS 1G)",
197220,"Nucleo 4.0 de Busca e Apreensao em Alienação Fiduciaria, Arrendam Mercantil e Fazenda Pub (GAS 1G)",
190179,"Nucleo 4.0 do Emprestimo Consignado, Contrato Bancario, Saude Publica e Violencia Domestica (GAS 1G)",
190217,"Nucleo 4.0 do Emprestimo Consignado, Contrato Bancario, Saude Publica e Violencia Domestica (GAS 1G)",
190438,"Nucleo 4.0 do Emprestimo Consignado, Contrato Bancario, Saude Publica e Violencia Domestica (GAS 1G)",
190462,"Nucleo 4.0 do Emprestimo Consignado, Contrato Bancario, Saude Publica e Violencia Domestica (GAS 1G)",
197149,"Nucleo 4.0 do Emprestimo Consignado, Contrato Bancario, Saude Publica e Violencia Domestica (GAS 1G)",
116220,Nucleo Avancado de Formacao (NAF-EJPA) - Altamira,
149322,Nucleo Avancado de Formacao (NAF-EJPA) - Maraba,
55808,Nucleo Avancado de Formacao (NAF-EJPA) - Santarem,
149063,Nucleo de Cooperacao Judiciaria,
149314,Nucleo de Cooperacao Judiciaria,
197378,Nucleo de Cooperacao Judiciaria,
639,Nucleo de Cooperacao Judiciaria,
70734,Nucleo de Cooperacao Judiciaria,
7986,Nucleo de Cooperacao Judiciaria,
8001,Nucleo de Cooperacao Judiciaria,
149063,Nucleo de Justica 4.0 - Grupo de Apoio as Execucoes Penais (GAEP),
190357,Nucleo de Justica 4.0 - Grupo de Apoio as Execucoes Penais (GAEP),
22969,Nucleo de Justica 4.0 - Grupo de Assessoramento e Suporte (GAS) do 1º Grau,
190217,Nucleo de Justica 4.0 - Meninas e Mulheres do Marajo,
190268,Nucleo de Justica 4.0 - Meninas e Mulheres do Marajo,
190489,Nucleo de Justica 4.0 - Meninas e Mulheres do Marajo,
197114,Nucleo de Justica 4.0 - Meninas e Mulheres do Marajo,
149357,Nucleo de Justica 4.0 - Meta 2,
151092,Nucleo de Justica 4.0 - Meta 2,
190217,Nucleo de Justica 4.0 - Meta 2,
190438,Nucleo de Justica 4.0 - Meta 2,
197131,Nucleo de Justica 4.0 - Meta 2,
197149,Nucleo de Justica 4.0 - Meta 2,
197220,Nucleo de Justica 4.0 - Meta 2,
204030,Nucleo de Justica 4.0 - Meta 2,
204064,Nucleo de Justica 4.0 - Meta 2,
55824,Nucleo de Justica 4.0 - Meta 2,
151173,Nucleo de Justica 4.0 - Meta 4,
190128,Nucleo de Justica 4.0 - Meta 4,
190217,Nucleo de Justica 4.0 - Meta 4,
204064,Nucleo de Justica 4.0 - Meta 4,
204102,Nucleo de Justica 4.0 - Meta 4,
41947,Nucleo de Justica 4.0 - Meta 4,
70777,Nucleo de Justica 4.0 - Meta 4,
116602,Nucleo de Justica 4.0 - Meta 6,
149012,Nucleo de Justica 4.0 - Meta 6,
190101,Nucleo de Justica 4.0 - Meta 6,
190420,Nucleo de Justica 4.0 - Meta 6,
140058,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
149314,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
25208,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
30139,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
39360,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
5266,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
6700,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
70734,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
744,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
82929,Nucleo Permanente de Metodos Consensuais de Solucao de Conflitos no Estado do Para,
214353,Orgao Encarregado pelo Tratamento de Dados Pessoais do TJPA,
22969,Orgao Encarregado pelo Tratamento de Dados Pessoais do TJPA,
148946,Ouvidoria Agraria,
5363,Ouvidoria de Justica,Substituindo
190101,Termo Judiciario de Bagre,Respondendo
39284,Termo Judiciario de Colares,
55735,Termo Judiciario de Colares,Respondendo
38930,Termo Judiciario de Magalhaes Barata,Respondendo
149454,Termo Judiciario de Santa Cruz do Arari,Respondendo
16314,TRIBUNAL DE JUSTICA DO ESTADO,
190217,TRIBUNAL DE JUSTICA DO ESTADO,
190438,TRIBUNAL DE JUSTICA DO ESTADO,
190462,TRIBUNAL DE JUSTICA DO ESTADO,
197122,TRIBUNAL DE JUSTICA DO ESTADO,
197149,TRIBUNAL DE JUSTICA DO ESTADO,
197211,TRIBUNAL DE JUSTICA DO ESTADO,
197220,TRIBUNAL DE JUSTICA DO ESTADO,
36528,TRIBUNAL DE JUSTICA DO ESTADO,
38032,TRIBUNAL DE JUSTICA DO ESTADO,
38070,TRIBUNAL DE JUSTICA DO ESTADO,
39152,TRIBUNAL DE JUSTICA DO ESTADO,
82660,TRIBUNAL DE JUSTICA DO ESTADO,
113549,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
203980,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204021,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204030,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204056,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204064,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204072,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204081,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204102,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204153,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204161,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
204170,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
37240,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
41947,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
48615,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
55778,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
55824,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
60127,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
60178,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
60240,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
82775,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
82881,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
86134,TRIBUNAL DE JUSTICA DO ESTADO DO PARA,
55824,Turma Recursal Permanente dos Juizados Especiais da Fazenda Publica,Substituindo
8001,Unidade de Processamento Judicial (UPJ) - 12ª a 15ª Varas Civeis e Empresariais da Capital,
48615,Unidade de Processamento Judicial (UPJ) - 1ª a 5ª Varas Civeis e Empresariais da Capital,Substituindo
82660,Unidade de Processamento Judicial (UPJ) - 1ª a 5ª Varas da Fazenda Publica da Comarca da Capital,
203980,"Unidade de Processamento Judicial (UPJ) - Varas Cíveis, Empresariais e de Fazenda de Parauapebas",Substituindo
113361,Unidade de Processamento Judicial (UPJ) - Varas Criminais de Parauapebas,
29262,Unidade de Processamento Judicial (UPJ) - Varas de Execucao Fiscal da Capital,Substituindo
6106,Unidade de Processamento Judicial (UPJ) das Turmas Recursais,
82651,Unidade de Processamento Judicial (UPJ) das Varas Civeis e Empresariais da Comarca de Santarem,
55808,Unidade de Processamento Judicial (UPJ) das Varas Criminais da Comarca de Santarem,
29297,Unidade de Processamento Judicial (UPJ) dos Juizados Especiais Criminais e do Meio Ambiente,
167291,Vara Agraria da Comarca de Altamira,Titular
167291,Vara Agraria da Comarca de Castanhal,Substituindo
190420,Vara Agraria da Comarca de Maraba,Respondendo
48682,Vara Agraria da Comarca de Redencao,Titular
113255,Vara Agraria da Comarca de Santarem,Respondendo
37230,Vara Civel e Criminal Distrital de Mosqueiro,Titular
116327,Vara Civel e Empresarial da Comarca de Conceicao do Araguaia,Respondendo
190551,Vara Civel e Empresarial da Comarca de Dom Eliseu,Titular
204111,Vara Civel e Empresarial da Comarca de Sao Felix do Xingu,Substituindo
149187,Vara Criminal da Comarca de Abaetetuba,Titular
151181,Vara Criminal da Comarca de Barcarena,Titular
48755,Vara Criminal da Comarca de Benevides,Titular
136581,Vara Criminal da Comarca de Braganca,Titular
167304,Vara Criminal da Comarca de Canaa dos Carajas,Titular
44940,Vara Criminal da Comarca de Capanema,Titular
190357,Vara Criminal da Comarca de Dom Eliseu,Titular
82953,Vara Criminal da Comarca de Marituba,Titular
190306,Vara Criminal da Comarca de Novo Progresso,Respondendo
82627,Vara Criminal da Comarca de Paragominas,Titular
70734,Vara Criminal da Comarca de Redencao,Substituindo
167321,Vara Criminal da Comarca de Santa Izabel do Para,Titular
204111,Vara Criminal da Comarca de Sao Felix do Xingu,Titular
116076,Vara Criminal da Comarca de Tucurui,Titular
204064,Vara Criminal da Comarca de Tucurui,
204153,Vara Criminal da Comarca de Xinguara,Respondendo
116327,Vara Criminal e de Execucoes Fiscais da Comarca de Conceicao do Araguaia,Titular
167282,Vara da Fazenda Publica e Execucao Fiscal de Parauapebas,Substituindo
70726,Vara da Infancia e Juventude da Comarca de Ananindeua,Respondendo
2712,Vara da Infancia e Juventude Distrital de Icoaraci,Titular
55778,Vara da Infancia e Juventude Interditos e Ausentes de Santarem,Substituindo
113549,Vara de Combate ao Crime Organizado da Comarca de Belem,
37210,Vara de Combate ao Crime Organizado da Comarca de Belem,Titular
39020,Vara de Crimes contra Crianca e Adolescente da Comarca de Ananindeua,Substituindo
37180,Vara de Crimes contra o Consumidor e a Ordem Tributaria da Comarca de Belem,Substituindo
27367,Vara de Execucao das Penas e Medidas Alternativas da Comarca de Belem,Titular
149063,Vara de Execucao Penal da Comarca de Santarem,Respondendo
37070,Vara de Execucao Penal da Regiao Metropolitana de Belem,Titular
7609,Vara de Familia Distrital de Icoaraci,Titular
151131,"Vara de Familia, Sucessoes e Registros Publicos da Comarca de Maraba",Substituindo
55778,Vara de Fazenda Publica e Execucao Fiscal de Santarem,Respondendo
86134,"Vara de Fazenda Publica, Execucao Fiscal e Acidentes do Trabalho da Comarca de Maraba",Respondendo
151131,"Vara de Infancia e Juventude, Interditos e Ausentes da Comarca de Maraba",Respondendo
8311,Vara de Juiz(a) das Garantias da Regiao Metropolitana de Belem,Titular
167291,Vara de Juizado Especial Civel e Criminal da Comarca de Altamira,Substituindo
116327,Vara de Juizado Especial Civel e Criminal da Comarca de Conceicao do Araguaia,Substituindo
70734,Vara de Juizado Especial Civel e Criminal da Comarca de Redencao,Titular
70785,Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Ananindeua,Substituindo
70718,Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Maraba,Titular
204137,Vara Distrital de Monte Dourado da Comarca de Almeirim,Titular
204170,Vara do Juizado de Violencia Domestica e Familiar contra a Mulher da Comarca de Santarem,Substituindo
39190,Vara do Juizado Especial Civel de Icoaraci,Titular
82651,Vara do Juizado Especial Civel de Santarem - FIT,Substituindo
82902,Vara do Juizado Especial Civel e Criminal de Castanhal,Titular
37230,Vara do Juizado Especial Civel e Criminal de Mosqueiro,Respondendo
149314,Vara do Juizado Especial Civel e Criminal de Paragominas,Substituindo
48690,Vara do Juizado Especial Civel e Criminal de Paragominas,Titular
167282,Vara do Juizado Especial Civel e Criminal de Parauapebas,Titular
116599,Vara do Juizado Especial Criminal de Ananindeua,Respondendo
30180,Vara do Juizado Especial Criminal de Icoaraci,Titular
24031,Vara do Juizado Especial Criminal do Meio Ambiente,Titular
167321,Vara do Juizado Especial da Comarca de Santa Izabel do Para,Substituindo
37100,Vara do Tribunal do Juri da Comarca de Ananindeua,Substituindo
116939,Vara Unica da Comarca de Acara,Substituindo
151106,Vara Unica da Comarca de Afua,Substituindo
204021,Vara Unica da Comarca de Alenquer,Respondendo
204137,Vara Unica da Comarca de Almeirim,Respondendo
197131,Vara Unica da Comarca de Anajas,Titular
91090,Vara Unica da Comarca de Augusto Correa,Titular
190128,Vara Unica da Comarca de Aurora do Para,Titular
190047,Vara Unica da Comarca de Baiao,Substituindo
151114,Vara Unica da Comarca de Bonito,Substituindo
190535,Vara Unica da Comarca de Breu Branco,Substituindo
197378,Vara Unica da Comarca de Bujaru,Substituindo
149454,Vara Unica da Comarca de Cachoeira do Arari,Titular
190292,Vara Unica da Comarca de Capitao Poco,Titular
151106,Vara Unica da Comarca de Chaves,Titular
116939,Vara Unica da Comarca de Concordia do Para,Titular
149276,Vara Unica da Comarca de Curionopolis,Titular
158542,Vara Unica da Comarca de Curralinho,Titular
204030,Vara Unica da Comarca de Curuca,Respondendo
190055,Vara Unica da Comarca de Eldorado dos Carajas,Titular
116602,Vara Unica da Comarca de Faro,Titular
158593,Vara Unica da Comarca de Garrafao do Norte,Titular
190535,Vara Unica da Comarca de Goianesia do Para,Titular
190268,Vara Unica da Comarca de Gurupa,Titular
38930,Vara Unica da Comarca de Igarape-Acu,Titular
136557,Vara Unica da Comarca de Igarape-Miri,Titular
48658,Vara Unica da Comarca de Inhangapi,Titular
190179,Vara Unica da Comarca de Ipixuna do Para,Titular
149292,Vara Unica da Comarca de Irituia,Titular
190501,Vara Unica da Comarca de Itupiranga,Titular
204188,Vara Unica da Comarca de Jacareacanga,Titular
136611,Vara Unica da Comarca de Jacunda,Titular
158585,Vara Unica da Comarca de Juruti,Titular
204102,Vara Unica da Comarca de Limoeiro do Ajuru,Substituindo
149179,Vara Unica da Comarca de Mae do Rio,Titular
190292,Vara Unica da Comarca de Marapanim,
82783,Vara Unica da Comarca de Marapanim,Titular
190179,Vara Unica da Comarca de Medicilandia,Respondendo
197114,Vara Unica da Comarca de Melgaco,Titular
190047,Vara Unica da Comarca de Mocajuba,Respondendo
136557,Vara Unica da Comarca de Moju,Substituindo
39300,Vara Unica da Comarca de Monte Alegre,Titular
34533,Vara Unica da Comarca de Muana,Titular
39284,Vara Unica da Comarca de Nova Timboteua,Titular
197203,Vara Unica da Comarca de Novo Repartimento,Titular
113671,Vara Unica da Comarca de Obidos,Titular
151084,Vara Unica da Comarca de Oeiras do Para,Titular
204161,Vara Unica da Comarca de Oriximina,Respondendo
190292,Vara Unica da Comarca de Ourem,Substituindo
204056,Vara Unica da Comarca de Ourilandia do Norte,Respondendo
197203,Vara Unica da Comarca de Pacaja,Substituindo
151114,Vara Unica da Comarca de Peixe-Boi,Titular
82694,Vara Unica da Comarca de Ponta de Pedras,Titular
190489,Vara Unica da Comarca de Portel,Titular
204048,Vara Unica da Comarca de Porto de Moz,Titular
70777,Vara Unica da Comarca de Prainha,Respondendo
149080,Vara Unica da Comarca de Primavera,Titular
37160,Vara Unica da Comarca de Rio Maria,Titular
150258,Vara Unica da Comarca de Ruropolis,Titular
37840,Vara Unica da Comarca de Salinopolis,Titular
153826,Vara Unica da Comarca de Salvaterra,Titular
161152,Vara Unica da Comarca de Santa Luzia do Para,Titular
197041,Vara Unica da Comarca de Santa Maria do Para,Titular
204056,Vara Unica da Comarca de Santana do Araguaia,Respondendo
153184,Vara Unica da Comarca de Santarem Novo,Titular
82597,Vara Unica da Comarca de Santo Antonio do Taua,Titular
151092,Vara Unica da Comarca de Sao Caetano de Odivelas,Titular
149357,Vara Unica da Comarca de Sao Domingos do Capim,Titular
190063,Vara Unica da Comarca de Sao Francisco do Para,Titular
82708,Vara Unica da Comarca de Sao Geraldo do Araguaia,Titular
82708,Vara Unica da Comarca de Sao Joao do Araguaia,Substituindo
149292,Vara Unica da Comarca de Sao Miguel do Guama,Substituindo
149012,Vara Unica da Comarca de Sao Sebastiao da Boa Vista,Titular
197050,Vara Unica da Comarca de Senador Jose Porfirio,Titular
153826,Vara Unica da Comarca de Soure,Substituindo
149284,Vara Unica da Comarca de Terra Santa,Titular
197378,Vara Unica da Comarca de Tome-Acu,Titular
190322,Vara Unica da Comarca de Tucuma,Titular
190551,Vara Unica da Comarca de Ulianopolis,Substituindo
204145,Vara Unica da Comarca de Uruara,Substituindo
39284,Vara Unica da Comarca de Vigia,
55735,Vara Unica da Comarca de Vigia,Titular
151114,Vara Unica da Comarca de Viseu,
91090,Vara Unica da Comarca de Viseu,Substituindo
204145,Vara Unica da Comarca de Vitoria do Xingu,Titular
949,Vice-Presidencia,Substituindo
